sample_id,index,R1_reads_no,R2_reads_no,quality_sequenced_reads_no,R1=R2,run_no,sequenced_time
C-CDC-AG-Lu-1-10,S1,611233,611233,361775,TRUE,1,1
C-CDC-AG-Lu-1-1,S1,665196,665196,517603,TRUE,1,1
C-CDC-AG-Lu-1-5,S1,641186,641186,436051,TRUE,1,1
C-CDC-AG-Lu-2-10,S2,599921,599921,400683,TRUE,1,1
C-CDC-AG-Lu-2-1,S2,492151,492151,302720,TRUE,1,1
C-CDC-AG-Lu-2-5,S2,598052,598052,382220,TRUE,1,1
C-CDC-AG-Lu-3-10,S3,587203,587203,398170,TRUE,1,1
C-CDC-AG-Lu-3-1,S3,588205,588205,396762,TRUE,1,1
C-CDC-AG-Lu-3-5,S3,528628,528628,334124,TRUE,1,1
C-CDC-INF100-Lu-1-1,S21,194123,194123,134584,TRUE,3,1
C-CDC-INF100-Lu-2-1,S26,169504,169504,122423,TRUE,3,1
C-CDC-INF100-Lu-3-1,S31,250055,250055,177400,TRUE,3,1
C-CDC-INF100-Lu-swab-1,S75,369514,369514,339181,TRUE,3,1
C-CDC-INF41-Lu-1-1,S17,59416,59416,48262,TRUE,3,1
C-CDC-INF41-Lu-2-1,S22,1647,1647,911,TRUE,3,1
C-CDC-INF41-Lu-3-1,S27,2162,2162,1820,TRUE,3,1
C-CDC-INF5-Lu-1-1,S32,199941,199941,187485,TRUE,3,1
C-CDC-INF5-Lu-2-1,S37,225829,225829,211190,TRUE,3,1
C-CDC-INF5-Lu-3-1,S79,245773,245773,169949,TRUE,3,1
C-CDC-INF80-Lu-1-1,S2,10994,10994,9948,TRUE,3,1
C-CDC-INF80-Lu-2-1,S7,44479,44479,21500,TRUE,3,1
C-CDC-INF80-Lu-3-1,S12,340,340,272,TRUE,3,1
C-CDC-INF-Lu-1-1,S8,261216,261216,176490,TRUE,3,1
C-CDC-INF-Lu-2-1,S13,222207,222207,153524,TRUE,3,1
C-CDC-INF-Lu-3-1,S18,253852,253852,179670,TRUE,3,1
C-CDC-IN-Lu-1-1,S31,320137,320137,245914,TRUE,2,1
C-CDC-IN-Lu-2-1,S40,227990,227990,196972,TRUE,2,1
C-CDC-IN-Lu-3-1,S49,282872,282872,220484,TRUE,2,1
C-CDC-INN-Lu-1-1,S23,225489,225489,163945,TRUE,3,1
C-CDC-INN-Lu-2-1,S28,204239,204239,141507,TRUE,3,1
C-CDC-INN-Lu-3-1,S33,189050,189050,165269,TRUE,3,1
C-CDC-IPF100-Lu-1-1,S12,199270,199270,148237,TRUE,2,1
C-CDC-IPF100-Lu-2-1,S22,316437,316437,292579,TRUE,2,1
C-CDC-IPF100-Lu-3-1,S32,380691,380691,373597,TRUE,2,1
C-CDC-IPF100-Lu-swab-1,S16,215047,215047,155614,TRUE,3,1
C-CDC-IPF41-Lu-1-1,S68,16665,16665,15487,TRUE,2,1
C-CDC-IPF41-Lu-2-1,S3,14883,14883,11834,TRUE,2,1
C-CDC-IPF41-Lu-3-1,S13,4820,4820,3140,TRUE,2,1
C-CDC-IPF5-Lu-1-1,S23,255209,255209,193678,TRUE,2,1
C-CDC-IPF5-Lu-3-1,S33,396512,396512,305471,TRUE,2,1
C-CDC-IPF80-Lu-1-1,S41,1628,1628,1143,TRUE,2,1
C-CDC-IPF80-Lu-2-1,S50,8011,8011,6514,TRUE,2,1
C-CDC-IPF80-Lu-3-1,S59,1213,1213,972,TRUE,2,1
C-CDC-IPF-Lu-1-1,S42,304960,304960,239155,TRUE,2,1
C-CDC-IPF-Lu-2-1,S51,293784,293784,230681,TRUE,2,1
C-CDC-IPF-Lu-3-1,S60,214021,214021,167288,TRUE,2,1
C-CDC-IP-Lu-1-1,S1,333501,333501,290256,TRUE,2,1
C-CDC-IP-Lu-2-1,S11,245308,245308,181462,TRUE,2,1
C-CDC-IP-Lu-3-1,S21,273765,273765,207370,TRUE,2,1
C-CDC-IPN-Lu-1-1,S69,264281,264281,226749,TRUE,2,1
C-CDC-IPN-Lu-2-1,S4,270890,270890,204147,TRUE,2,1
C-CDC-IPN-Lu-3-1,S14,310024,310024,241676,TRUE,2,1
C-CDC-NFC100-Lu-1-1,S64,40,40,#N/A,TRUE,2,1
C-CDC-NFC100-Lu-2-1,S73,31,31,#N/A,TRUE,2,1
C-CDC-NFC100-Lu-3-1,S8,34,34,#N/A,TRUE,2,1
C-CDC-NFC41-Lu-1-1,S47,70,70,#N/A,TRUE,2,1
C-CDC-NFC41-Lu-2-1,S56,42,42,#N/A,TRUE,2,1
C-CDC-NFC41-Lu-3-1,S65,54,54,#N/A,TRUE,2,1
C-CDC-NFC5-Lu-1-1,S74,43,43,#N/A,TRUE,2,1
C-CDC-NFC5-Lu-2-1,S9,29,29,#N/A,TRUE,2,1
C-CDC-NFC5-Lu-3-1,S19,29,29,#N/A,TRUE,2,1
C-CDC-NFC80-Lu-1-1,S18,54,54,#N/A,TRUE,2,1
C-CDC-NFC80-Lu-2-1,S28,63,63,#N/A,TRUE,2,1
C-CDC-NFC80-Lu-3-1,S38,136,136,#N/A,TRUE,2,1
C-CDC-NFCA-Lu-1-1,S19,24,24,#N/A,TRUE,2,2
C-CDC-NFCA-Lu-1-1,S29,52,52,#N/A,TRUE,2,2
C-CDC-NFCA-Lu-2-1,S39,131,131,#N/A,TRUE,2,1
C-CDC-NFCB-Lu-1-1,S30,20,20,#N/A,TRUE,2,2
C-CDC-NFCB-Lu-1-1,S48,18,18,#N/A,TRUE,2,2
C-CDC-NFCB-Lu-2-1,S57,41,41,#N/A,TRUE,2,1
C-CDC-NKC-Lu-1-1,S36,32,32,#N/A,TRUE,1,2
C-CDC-NKC-Lu-1-1,S4,31,31,#N/A,TRUE,1,2
C-CDC-NKC-Lu-2-1,S4,35,35,#N/A,TRUE,1,1
C-CDC-NKC-Lu-3-1,S4,74,74,#N/A,TRUE,1,1
C-CDC-NKC-Lu-4-1,S30,24,24,#N/A,TRUE,2,2
C-CDC-NKC-Lu-4-1,S38,24,24,#N/A,TRUE,2,2
C-CDC-NKC-Lu-5-1,S74,22,22,#N/A,TRUE,3,1
C-CDC-NMCA-Lu-1-1,S3,23,23,#N/A,TRUE,2,2
C-CDC-NMCA-Lu-1-1,S66,22,22,#N/A,TRUE,2,2
C-CDC-NMCA-Lu-2-1,S75,49,49,#N/A,TRUE,2,1
C-CDC-NMCB-Lu-1-1,S10,43,43,#N/A,TRUE,2,2
C-CDC-NMCB-Lu-1-1,S60,90,90,#N/A,TRUE,2,2
C-CDC-NMCB-Lu-2-1,S20,46,46,#N/A,TRUE,2,1
C-CDC-NNF100-Lu-1-1,S4,298525,298525,177198,TRUE,3,1
C-CDC-NNF100-Lu-2-1,S9,266019,266019,227788,TRUE,3,1
C-CDC-NNF100-Lu-3-1,S14,19,19,9,TRUE,3,1
C-CDC-NNF100-Lu-swab-1,S77,237230,237230,158429,TRUE,3,1
C-CDC-NNF41-Lu-1-1,S39,10516,10516,9153,TRUE,3,1
C-CDC-NNF41-Lu-2-1,S5,4054,4054,2317,TRUE,3,1
C-CDC-NNF41-Lu-3-1,S10,6234,6234,4957,TRUE,3,1
C-CDC-NNF5-Lu-1-1,S15,225378,225378,201623,TRUE,3,1
C-CDC-NNF5-Lu-2-1,S20,274021,274021,260595,TRUE,3,1
C-CDC-NNF5-Lu-3-1,S25,255107,255107,219454,TRUE,3,1
C-CDC-NNF80-Lu-1-1,S24,7689,7689,4981,TRUE,3,1
C-CDC-NNF80-Lu-2-1,S29,15036,15036,9284,TRUE,3,1
C-CDC-NNF80-Lu-3-1,S34,1610,1610,1097,TRUE,3,1
C-CDC-NNF-Lu-1-1,S78,188559,188559,131325,TRUE,3,1
C-CDC-NNF-Lu-2-1,S35,263479,263479,159764,TRUE,3,1
C-CDC-NNF-Lu-3-1,S40,195493,195493,123566,TRUE,3,1
C-CDC-NN-Lu-1-1,S1,312746,312746,206883,TRUE,3,1
C-CDC-NN-Lu-2-1,S6,164995,164995,107418,TRUE,3,1
C-CDC-NN-Lu-3-1,S11,221380,221380,138330,TRUE,3,1
C-CDC-NNN-Lu-1-1,S41,309623,309623,271530,TRUE,3,1
C-CDC-NNN-Lu-2-1,S45,302454,302454,197855,TRUE,3,1
C-CDC-NNN-Lu-3-1,S49,255593,255593,216797,TRUE,3,1
C-CDC-NPF100-Lu-1-1,S24,178822,178822,131654,TRUE,2,1
C-CDC-NPF100-Lu-2-1,S34,305902,305902,290987,TRUE,2,1
C-CDC-NPF100-Lu-3-1,S43,225081,225081,170997,TRUE,2,1
C-CDC-NPF100-Lu-swab-1,S76,287216,287216,230184,TRUE,3,1
C-CDC-NPF41-Lu-1-1,S5,42240,42240,31061,TRUE,2,1
C-CDC-NPF41-Lu-2-1,S15,42525,42525,31617,TRUE,2,1
C-CDC-NPF41-Lu-3-1,S25,17011,17011,11862,TRUE,2,1
C-CDC-NPF5-Lu-1-1,S35,287611,287611,208881,TRUE,2,1
C-CDC-NPF5-Lu-2-1,S44,236365,236365,185357,TRUE,2,1
C-CDC-NPF5-Lu-3-1,S53,183355,183355,142796,TRUE,2,1
C-CDC-NPF80-Lu-1-1,S52,32022,32022,23925,TRUE,2,1
C-CDC-NPF80-Lu-2-1,S61,17532,17532,13172,TRUE,2,1
C-CDC-NPF80-Lu-3-1,S70,18139,18139,13053,TRUE,2,1
