sample_id,index,raw,quality,dna_con_sub,dna_input_sub,post_pcr_con_nM,success
C-CDC-NPF5-Lu-3-1,S53,183355,142796,38.20724869,573.1087304,13.54759563,Y
C-CDC-NPF5-Lu-1-1,S35,287611,208881,19.34437438,290.1656157,15.16319459,Y
C-CDC-NPN-Lu-2-1,S26,275241,212974,17.8635071,267.9526065,15.21741447,Y
C-CDC-NPN-Lu-3-1,S36,291747,271923,17.05761272,255.8641908,15.27483128,Y
C-CDC-NPN-Lu-1-1,S16,288243,223140,15.93750682,239.0626023,21.01037381,Y
C-CDC-IPF5-Lu-1-1,S23,255209,193678,13.96739335,209.5109003,15.79311706,Y
C-CDC-SNF5-Lu-2-1,S55,355800,298612,12.01099439,180.1649159,7.770109416,Y
C-CDC-NPF5-Lu-2-1,S44,236365,185357,11.86730382,178.0095573,21.90487395,Y
C-CDC-NPF-Lu-2-1,S71,275241,254707,11.06577349,165.9866024,24.9317243,Y
C-CDC-IN-Lu-2-1,S40,227990,196972,10.11266349,151.6899524,19.64771571,Y
C-CDC-NPF-Lu-1-1,S62,277909,214417,9.756558802,146.348382,21.57098691,Y
C-CDC-NPF-Lu-3-1,S6,238393,179008,9.673641872,145.1046281,17.24848604,Y
C-CDC-IN-Lu-1-1,S31,320137,245914,9.622822217,144.3423333,15.44669806,Y
C-CDC-IPN-Lu-2-1,S4,270890,204147,9.362548344,140.4382252,21.9771245,Y
C-CDC-IPN-Lu-3-1,S14,310024,241676,9.241915791,138.6287369,20.70155068,Y
C-CDC-AG-Lu-2-1,S2,492151,302720,8.751171345,131.2675702,14.747,Y
C-CDC-IN-Lu-3-1,S49,282872,220484,8.567104599,128.506569,22.52034631,Y
C-CDC-IPF-Lu-1-1,S42,304960,239155,8.512368689,127.6855303,18.5065407,Y
C-CDC-AG-Lu-1-1,S1,665196,517603,8.453265081,126.7989762,16.11111111,Y
C-CDC-AG-Lu-3-1,S3,588205,396762,7.937173946,119.0576092,18.333,Y
C-CDC-IPF-Lu-2-1,S51,293784,230681,7.074061523,106.1109228,22.78876029,Y
C-CDC-NPF100-Lu-swab-1,S76,287216,230184,6.913118344,103.6967752,39.17605128,Y
C-CDC-NNF100-Lu-swab-1,S77,237230,158429,6.791238848,101.8685827,41.19116131,Y
C-CDC-SNF5-Lu-1-1,S46,240293,199721,6.781881848,101.7282277,8.958726822,Y
C-CDC-INF100-Lu-2-1,S26,169504,122423,6.67204735,100.0807103,15.01078651,Y
C-CDC-NP-Lu-1-1,S58,313610,278956,6.356964658,95.35446987,18.44260216,Y
C-CDC-IPF-Lu-3-1,S60,214021,167288,6.170413043,92.55619565,25.94041866,Y
C-CDC-NNF5-Lu-2-1,S20,274021,260595,6.155630608,92.33445912,18.64210918,Y
C-CDC-NP-Lu-2-1,S67,300680,258003,6.045662499,90.68493749,15.84593029,Y
C-CDC-INF5-Lu-2-1,S37,225829,211190,6.028489302,90.42733953,10.35578408,Y
C-CDC-SNN-Lu-2-1,S72,279754,235962,6.02505059,90.37575885,31.1662692,Y
C-CDC-SNN-Lu-1-1,S68,282461,204200,6.017723816,90.26585724,19.53692931,Y
C-CDC-NP-Lu-3-1,S2,252135,223957,5.95838152,89.3757228,12.44874793,Y
C-CDC-INF100-Lu-swab-1,S75,369514,339181,5.939971987,89.09957981,25.25464311,Y
C-CDC-SNN-Lu-3-1,S73,238494,208213,5.927709162,88.91563743,41.78064915,Y
C-CDC-NNN-Lu-3-1,S49,255593,216797,5.880921844,88.21382766,26.49590327,Y
C-CDC-SNF-Lu-3-1,S64,201008,144885,5.781871467,86.72807201,32.6451792,Y
C-CDC-SNF-Lu-1-1,S56,339394,324590,5.779080315,86.68620473,20.78870863,Y
C-CDC-SNF-Lu-2-1,S80,216262,159222,5.733026307,85.99539461,36.07580748,Y
C-CDC-INF-Lu-3-1,S18,253852,179670,5.583402952,83.75104428,8.379567244,Y
C-CDC-SN-Lu-1-1,S72,194771,157502,5.494182763,82.41274145,15.30999747,Y
C-CDC-NN-Lu-2-1,S6,164995,107418,5.407350769,81.11026154,7.748002779,Y
C-CDC-NNF-Lu-2-1,S35,263479,159764,5.334664344,80.01996516,6.854428335,Y
C-CDC-IPF5-Lu-3-1,S33,396512,305471,5.276554087,79.14831131,14.96332272,Y
C-CDC-NNN-Lu-2-1,S45,302454,197855,5.262312545,78.93468818,35.99746746,Y
C-CDC-SN-Lu-3-1,S17,241535,216895,5.141759855,77.12639783,17.85193796,Y
C-CDC-NNN-Lu-1-1,S41,309623,271530,5.106420168,76.59630252,17.00139798,Y
C-CDC-SN-Lu-2-1,S7,244450,212745,5.051395007,75.77092511,16.56434369,Y
C-CDC-NNF5-Lu-1-1,S15,225378,201623,5.017023164,75.25534746,11.07233224,Y
C-CDC-INF-Lu-2-1,S13,222207,153524,4.966394329,74.49591494,13.23844749,Y
C-CDC-INF5-Lu-1-1,S32,199941,187485,4.960706852,74.41060278,6.484597028,Y
C-CDC-INF100-Lu-3-1,S31,250055,177400,4.914121462,73.71182193,17.49649027,Y
C-CDC-IP-Lu-3-1,S21,273765,207370,4.913255571,73.69883357,11.67688191,Y
C-CDC-INF-Lu-1-1,S8,261216,176490,4.831995242,72.47992863,23.22264707,Y
C-CDC-NNF-Lu-3-1,S40,195493,123566,4.806366198,72.09549297,14.55444901,Y
C-CDC-NN-Lu-1-1,S1,312746,206883,4.787392209,71.81088314,22.32990309,Y
C-CDC-NNF5-Lu-3-1,S25,255107,219454,4.782451472,71.73677208,11.6061793,Y
C-CDC-IPF100-Lu-swab-1,S16,215047,155614,4.749757304,71.24635956,8.3873182,Y
C-CDC-IP-Lu-2-1,S11,245308,181462,4.732820771,70.99231157,10.9869851,Y
C-CDC-NN-Lu-3-1,S11,221380,138330,4.692050276,70.38075414,14.92109689,Y
C-CDC-INF5-Lu-3-1,S79,245773,169949,4.521189981,67.81784972,19.88599913,Y
C-CDC-NNF-Lu-1-1,S78,188559,131325,4.488197896,67.32296844,36.95346478,Y
C-CDC-INN-Lu-1-1,S23,225489,163945,4.283023944,64.24535916,11.11053338,Y
C-CDC-INN-Lu-3-1,S33,189050,165269,4.281607975,64.22411963,10.12353224,Y
C-CDC-INN-Lu-2-1,S28,204239,141507,4.144542146,62.16813219,10.39398522,Y
C-CDC-IP-Lu-1-1,S1,333501,290256,4.135629486,62.03444229,12.77931017,Y
C-CDC-IPN-Lu-1-1,S69,264281,226749,3.000746307,45.01119461,24.1798071,Y
C-CDC-NNF100-Lu-2-1,S9,266019,227788,1.886112013,28.2916802,21.4385432,Y
C-CDC-IPF100-Lu-3-1,S32,380691,373597,1.884186407,28.26279611,8.351950104,Y
C-CDC-NNF100-Lu-3-1,S14,19,9,1.855818818,27.83728227,-0.02897381,N
C-CDC-AG-Lu-2-5,S2,598052,382220,1.750234269,26.25351404,16.263,Y
C-CDC-INF100-Lu-1-1,S21,194123,134584,1.722415465,25.83623198,18.7665397,Y
C-CDC-AG-Lu-1-5,S1,641186,436051,1.690653016,25.35979524,17.828,Y
C-CDC-AG-Lu-3-5,S3,528628,334124,1.587434789,23.81152184,13.03,Y
C-CDC-SPF5-Lu-3-1,S66,689,477,1.114741784,16.72112676,0.046321187,N
C-CDC-IPF100-Lu-2-1,S22,316437,292579,1.06504435,15.97566525,5.061545105,Y
C-CDC-SPF5-Lu-2-1,S62,567,239,0.928450704,13.92676056,-0.012503029,N
C-CDC-AG-Lu-2-10,S2,599921,400683,0.875117135,13.12675703,14.495,Y
C-CDC-AG-Lu-1-10,S1,611233,361775,0.845326508,12.67989762,17.98,Y
C-CDC-NNF100-Lu-1-1,S4,298525,177198,0.819358794,12.29038191,11.49918843,Y
C-CDC-AG-Lu-3-10,S3,587203,398170,0.793717395,11.90576093,21.97,Y
C-CDC-NPF100-Lu-2-1,S34,305902,290987,0.749820136,11.24730204,4.674205446,Y
C-CDC-INF41-Lu-1-1,S17,59416,48262,0.745261899,11.17892849,0.917196404,N
C-CDC-SPF5-Lu-1-1,S58,308,243,0.674553991,10.11830987,-0.026759251,N
C-CDC-INF80-Lu-2-1,S7,44479,21500,0.607439493,9.111592395,0.631379919,N
C-CDC-NPF100-Lu-3-1,S43,225081,170997,0.607248701,9.108730515,3.894155293,N
C-CDC-SPN-Lu-3-1,S59,4626,4181,0.562357473,8.435362095,0.042860939,N
C-CDC-SPN-Lu-1-1,S51,1691,244,0.543169423,8.147541345,-0.015132818,N
C-CDC-SPN-Lu-2-1,S55,6082,3328,0.522505369,7.837580535,0.034002704,N
C-CDC-NPF100-Lu-1-1,S24,178822,131654,0.390751338,5.86127007,2.246587067,N
C-CDC-IPF100-Lu-1-1,S12,199270,148237,0.349692223,5.245383345,2.114745804,N
C-CDC-SPF-Lu-3-1,S47,9969,4661,0.289296758,4.33945137,0.004659801,N
C-CDC-INF80-Lu-1-1,S2,10994,9948,0.281478565,4.222178475,0.133796256,N
C-CDC-SPF-Lu-2-1,S43,5689,5205,0.273060715,4.095910725,0.045629137,N
C-CDC-SP-Lu-3-1,S63,1012,328,0.268257048,4.02385572,0.039428765,N
C-CDC-SP-Lu-2-1,S54,1188,389,0.23153138,3.4729707,0.039300888,N
C-CDC-SPF-Lu-1-1,S70,4580,4153,0.222876584,3.34314876,0.02320673,N
C-CDC-SP-Lu-1-1,S45,858,533,0.220354003,3.305310045,0.020502958,N
C-CDC-NNF80-Lu-2-1,S29,15036,9284,0.210609831,3.159147465,0.234005038,N
C-CDC-SNF100-Lu-3-1,S37,31830,25186,0.161273582,2.41910373,0.454389871,N
C-CDC-NNF80-Lu-1-1,S24,7689,4981,0.157236107,2.358541605,0.123692332,N
C-CDC-INF41-Lu-2-1,S22,1647,911,0.15021913,2.25328695,-0.000876596,N
C-CDC-INF41-Lu-3-1,S27,2162,1820,0.137093187,2.056397805,0.0576708,N
C-CDC-NNF80-Lu-3-1,S34,1610,1097,0.13559811,2.03397165,0.015317364,N
C-CDC-NNF41-Lu-2-1,S5,4054,2317,0.134155577,2.012333655,0.027359028,N
C-CDC-NNF41-Lu-1-1,S39,10516,9153,0.126942912,1.90414368,0.156357073,N
C-CDC-IPF41-Lu-1-1,S68,16665,15487,0.126759723,1.901395845,0.339300504,N
C-CDC-SNF41-Lu-1-1,S44,5956,5057,0.11684518,1.7526777,0.052964863,N
C-CDC-NNF41-Lu-3-1,S10,6234,4957,0.113960114,1.70940171,0.119955264,N
C-CDC-SNF80-Lu-2-1,S67,517,270,0.111075048,1.66612572,0.049089385,N
C-CDC-NPF41-Lu-1-1,S5,42240,31061,0.09900794,1.4851191,0.613468951,N
C-CDC-INF80-Lu-3-1,S12,340,272,0.093340042,1.40010063,0.009088918,N
C-CDC-NPF41-Lu-2-1,S15,42525,31617,0.092407411,1.386111165,0.555157005,N
C-CDC-NPF80-Lu-3-1,S70,18139,13053,0.079206352,1.18809528,0.311423302,N
C-CDC-IPF41-Lu-2-1,S3,14883,11834,0.079038416,1.18557624,0.209377396,N
C-CDC-NPF80-Lu-1-1,S52,32022,23925,0.068645505,1.029682575,0.55234371,N
C-CDC-NPF80-Lu-2-1,S61,17532,13172,0.064685188,0.97027782,0.339556258,N
C-CDC-IPF80-Lu-2-1,S50,8011,6514,0.056764553,0.851468295,0.143009195,N
C-CDC-SNF41-Lu-3-1,S52,1818,914,0.05625879,0.84388185,0.02320673,N
C-CDC-SNF41-Lu-2-1,S48,3922,2503,0.053373724,0.80060586,0.049504615,N
C-CDC-NPF41-Lu-3-1,S25,17011,11862,0.052804235,0.792063525,0.291346601,N
C-CDC-SNF100-Lu-2-1,S27,16058,14219,0.051096581,0.766448715,0.274466827,N
C-CDC-SPF80-Lu-3-1,S42,26,6,0.046161059,0.692415885,-0.051257807,N
C-CDC-SNF80-Lu-1-1,S63,484,303,0.043275993,0.649139895,0.009088918,N
C-CDC-IPF80-Lu-1-1,S41,1628,1143,0.042243388,0.63365082,0.061551498,N
C-CDC-IPF41-Lu-3-1,S13,4820,3140,0.041756144,0.62634216,0.080093674,N
C-CDC-SNF80-Lu-3-1,S71,1340,825,0.034620794,0.51931191,-0.000599776,N
C-CDC-SPF41-Lu-2-1,S50,59,5,0.028044073,0.420661095,0.026251748,N
C-CDC-SPF80-Lu-1-1,S65,18,4,0.023080529,0.346207935,-0.02966586,N
C-CDC-SPF100-Lu-1-1,S53,29,6,0.01875293,0.28129395,0.006874359,N
C-CDC-SPF100-Lu-3-1,S61,48,13,0.017310397,0.259655955,0.013102806,N
C-CDC-SPF80-Lu-2-1,S69,24,2,0.017310397,0.259655955,0.017116693,N
C-CDC-SPF41-Lu-1-1,S46,38,18,0.016236043,0.243540645,0.011857116,N
C-CDC-IPF80-Lu-3-1,S59,1213,972,0.01584127,0.23761905,0.070502894,N
C-CDC-SPF41-Lu-3-1,S54,59,11,0.013284035,0.199260525,-0.01111893,N
C-CDC-SPF100-Lu-2-1,S57,54,17,-0.004327599,-0.064913985,-0.007520272,N
